Ndex,Pokémon,English,French
719,Diancie,Diancie,Diancie
720,Hoopa,Hoopa,Hoopa
721,Volcanion,Volcanion,Volcanion
722,Rowlet,Rowlet,Brindibou
723,Dartrix,Dartrix,Effleche
724,Decidueye,Decidueye,Archeduc
725,Litten,Litten,Flamiaou
726,Torracat,Torracat,Matoufeu
727,Incineroar,Incineroar,Felinferno
728,Popplio,Popplio,Otaquin
729,Brionne,Brionne,Otarlette
730,Primarina,Primarina,Oratoria
731,Pikipek,Pikipek,Picassaut
732,Trumbeak,Trumbeak,Piclairon
733,Toucannon,Toucannon,Bazoucan
734,Yungoos,Yungoos,Manglouton
735,Gumshoos,Gumshoos,Argouste
736,Grubbin,Grubbin,Larvibule
737,Charjabug,Charjabug,Chrysapile
738,Vikavolt,Vikavolt,Lucanon
739,Crabrawler,Crabrawler,Crabagarre
740,Crabominable,Crabominable,Crabominable
741,Oricorio,Oricorio,Plumeline
742,Cutiefly,Cutiefly,Bombydou
743,Ribombee,Ribombee,Rubombelle
744,Rockruff,Rockruff,Rocabot
745,Lycanroc,Lycanroc,Lougaroc
746,Wishiwashi,Wishiwashi,Froussardine
747,Mareanie,Mareanie,Vorasterie
748,Toxapex,Toxapex,Predasterie
749,Mudbray,Mudbray,Tiboudet
750,Mudsdale,Mudsdale,Bourrinos
751,Dewpider,Dewpider,Araqua
752,Araquanid,Araquanid,Tarenbulle
753,Fomantis,Fomantis,Mimantis
754,Lurantis,Lurantis,Floramantis
755,Morelull,Morelull,Spododo
756,Shiinotic,Shiinotic,Lampignon
757,Salandit,Salandit,Tritox
758,Salazzle,Salazzle,Malamandre
759,Stufful,Stufful,Nounourson
760,Bewear,Bewear,Chelours
761,Bounsweet,Bounsweet,Croquine
762,Steenee,Steenee,Candine
763,Tsareena,Tsareena,Sucreine
764,Comfey,Comfey,Guerilande
765,Oranguru,Oranguru,Gouroutan
766,Passimian,Passimian,Quartermac
767,Wimpod,Wimpod,Sovkipou
768,Golisopod,Golisopod,Sarmurai
769,Sandygast,Sandygast,Bacabouh
770,Palossand,Palossand,Trepassable
771,Pyukumuku,Pyukumuku,Concombaffe
772,Type: Null,Type: Null,Type:0
773,Silvally,Silvally,Silvallie
774,Minior,Minior,Meteno
775,Komala,Komala,Dodoala
776,Turtonator,Turtonator,Boumata
777,Togedemaru,Togedemaru,Togedemaru
778,Mimikyu,Mimikyu,Mimiqui
779,Bruxish,Bruxish,Denticrisse
780,Drampa,Drampa,Draieul
781,Dhelmise,Dhelmise,Sinistrail
782,Jangmo-o,Jangmo-o,Bebecaille
783,Hakamo-o,Hakamo-o,Ecaid
784,Kommo-o,Kommo-o,Ekaiser
785,Tapu Koko,Tapu Koko,Tokorico
786,Tapu Lele,Tapu Lele,Tokopiyon
787,Tapu Bulu,Tapu Bulu,Tokotoro
788,Tapu Fini,Tapu Fini,Tokopisco
789,Cosmog,Cosmog,Cosmog
790,Cosmoem,Cosmoem,Cosmovum
791,Solgaleo,Solgaleo,Solgaleo
792,Lunala,Lunala,Lunala
793,Nihilego,Nihilego,Zeroid
794,Buzzwole,Buzzwole,Mouscoto
795,Pheromosa,Pheromosa,Cancrelove
796,Xurkitree,Xurkitree,Cablifere
797,Celesteela,Celesteela,Bamboiselle
798,Kartana,Kartana,Katagami
799,Guzzlord,Guzzlord,Engloutyran
800,Necrozma,Necrozma,Necrozma
801,Magearna,Magearna,Magearna
802,Marshadow,Marshadow,Marshadow
803,Poipole,Poipole,Vemini
804,Naganadel,Naganadel,Mandrillon
805,Stakataka,Stakataka,Ama-Ama
806,Blacephalon,Blacephalon,Pierroteknik
807,Zeraora,Zeraora,Zeraora
808,Meltan,Meltan,Meltan
809,Melmetal,Melmetal,Melmetal
810,Grookey,Grookey,Ouistempo
811,Thwackey,Thwackey,Badabouin
812,Rillaboom,Rillaboom,Gorythmic
813,Scorbunny,Scorbunny,Flambino
814,Raboot,Raboot,Lapyro
815,Cinderace,Cinderace,Pyrobut
816,Sobble,Sobble,Larmeleon
817,Drizzile,Drizzile,Arrozard
818,Inteleon,Inteleon,Lezargus
819,Skwovet,Skwovet,Rongourmand
820,Greedent,Greedent,Rongrigou
821,Rookidee,Rookidee,Minisange
822,Corvisquire,Corvisquire,Bleuseille
823,Corviknight,Corviknight,Corvaillus
824,Blipbug,Blipbug,Larvadar
825,Dottler,Dottler,Coleodome
826,Orbeetle,Orbeetle,Astronelle
827,Nickit,Nickit,Goupilou
828,Thievul,Thievul,Roublenard
829,Gossifleur,Gossifleur,Tournicoton
830,Eldegoss,Eldegoss,Blancoton
831,Wooloo,Wooloo,Moumouton
832,Dubwool,Dubwool,Moumouflon
833,Chewtle,Chewtle,Khelocrok
834,Drednaw,Drednaw,Torgamord
835,Yamper,Yamper,Voltoutou
836,Boltund,Boltund,Fulgudog
837,Rolycoly,Rolycoly,Charbi
838,Carkol,Carkol,Wagomine
839,Coalossal,Coalossal,Monthracite
840,Applin,Applin,Verpom
841,Flapple,Flapple,Pomdrapi
842,Appletun,Appletun,Dratatin
843,Silicobra,Silicobra,Dunaja
844,Sandaconda,Sandaconda,Dunaconda
845,Cramorant,Cramorant,Nigosier
846,Arrokuda,Arrokuda,Embrochet
847,Barraskewda,Barraskewda,Hastacuda
848,Toxel,Toxel,Toxizap
849,Toxtricity,Toxtricity,Salarsen
850,Sizzlipede,Sizzlipede,Grillepattes
851,Centiskorch,Centiskorch,Scolocendre
852,Clobbopus,Clobbopus,Poulpaf
853,Grapploct,Grapploct,Krakos
854,Sinistea,Sinistea,Theffroi
855,Polteageist,Polteageist,Polthegeist
856,Hatenna,Hatenna,Bibichut
857,Hattrem,Hattrem,Chapotus
858,Hatterene,Hatterene,Sorcilence
859,Impidimp,Impidimp,Grimalin
860,Morgrem,Morgrem,Fourbelin
861,Grimmsnarl,Grimmsnarl,Angoliath
862,Obstagoon,Obstagoon,Ixon
863,Perrserker,Perrserker,Berserkatt
864,Cursola,Cursola,Corayome
865,Sirfetch'd,Sirfetch'd,Palarticho
866,Mr. Rime,Mr. Rime,M. Glaquette
867,Runerigus,Runerigus,Tutetekri
868,Milcery,Milcery,Cremy
869,Alcremie,Alcremie,Charmilly
870,Falinks,Falinks,Hexadron
871,Pincurchin,Pincurchin,Wattapik
872,Snom,Snom,Frissonille
873,Frosmoth,Frosmoth,Beldeneige
874,Stonjourner,Stonjourner,Dolman
875,Eiscue,Eiscue,Bekaglaçon
876,Indeedee,Indeedee,Wimessir
877,Morpeko,Morpeko,Morpeko
878,Cufant,Cufant,Charibari
879,Copperajah,Copperajah,Pachyradjah
880,Dracozolt,Dracozolt,Galvagon
881,Arctozolt,Arctozolt,Galvagla
882,Dracovish,Dracovish,Hydragon
883,Arctovish,Arctovish,Hydragla
884,Duraludon,Duraludon,Duralugon
885,Dreepy,Dreepy,Fantyrm
886,Drakloak,Drakloak,Dispareptil
887,Dragapult,Dragapult,Lanssorien
888,Zacian,Zacian,Zacian
889,Zamazenta,Zamazenta,Zamazenta
890,Eternatus,Eternatus,Ethernatos
891,Kubfu,Kubfu,Wushours
892,Urshifu,Urshifu,Shifours
893,Zarude,Zarude,Zarude
894,Regieleki,Regieleki,Regieleki
895,Regidrago,Regidrago,Regidrago
896,Glastrier,Glastrier,Blizzeval
897,Spectrier,Spectrier,Spectreval
898,Calyrex,Calyrex,Sylveroy
